shipment_id,origin,destination,distance_km,weather,traffic,priority,vehicle_health,warehouse_load,shipment_value_inr,base_eta_hours,predicted_delay_hours,risk_score,status,origin_lat,origin_lon,destination_lat,destination_lon
SHP-1038,Ahmedabad,Chennai,1052,Rain,Medium,Critical,Poor,Normal,979686,21.9,10.4,74,Delayed,23.0225,72.5714,13.0827,80.2707
SHP-1039,Hyderabad,Kolkata,1819,Rain,High,Standard,Average,Normal,482961,37.9,7.1,52,Delayed,17.385,78.4867,22.5726,88.3639
SHP-1040,Jaipur,Kolkata,1181,Clear,Medium,Standard,Average,Normal,2158761,24.6,2.1,28,At Risk,26.9124,75.7873,22.5726,88.3639
SHP-1041,Jaipur,Mumbai,2023,Heavy Rain,Medium,High,Average,Overloaded,270758,42.1,12.5,84,Delayed,26.9124,75.7873,19.076,72.8777
SHP-1042,Delhi,Bengaluru,1213,Clear,Medium,High,Good,Normal,1559605,25.3,2.1,26,At Risk,28.6139,77.209,12.9716,77.5946
SHP-1043,Pune,Ahmedabad,1160,Rain,Severe,Standard,Good,Normal,1246073,24.2,11.5,81,Delayed,18.5204,73.8567,23.0225,72.5714
SHP-1044,Kolkata,Lucknow,635,Clear,High,High,Good,Normal,1694516,13.2,4.3,39,Delayed,22.5726,88.3639,26.8467,80.9462
SHP-1045,Bengaluru,Mumbai,523,Heavy Rain,Medium,Standard,Average,Busy,2375212,10.9,11.7,86,Delayed,12.9716,77.5946,19.076,72.8777
SHP-1046,Jaipur,Pune,508,Storm,High,Critical,Good,Overloaded,972080,10.6,18.3,99,Delayed,26.9124,75.7873,18.5204,73.8567
SHP-1047,Lucknow,Mumbai,1338,Rain,Low,Standard,Average,Normal,2422360,27.9,3.5,37,At Risk,26.8467,80.9462,19.076,72.8777
SHP-1048,Delhi,Hyderabad,1203,Rain,Low,Critical,Poor,Normal,2300182,25.1,8.1,64,Delayed,28.6139,77.209,17.385,78.4867
SHP-1049,Delhi,Mumbai,2098,Rain,High,Standard,Poor,Normal,652495,43.7,11.3,78,Delayed,28.6139,77.209,19.076,72.8777
SHP-1050,Bengaluru,Pune,1745,Heavy Rain,High,Standard,Good,Normal,535600,36.4,8.1,58,Delayed,12.9716,77.5946,18.5204,73.8567
SHP-1051,Pune,Lucknow,691,Heavy Rain,Low,High,Poor,Busy,2123013,14.4,14.6,99,Delayed,18.5204,73.8567,26.8467,80.9462
SHP-1052,Hyderabad,Jaipur,1093,Clear,Medium,High,Average,Overloaded,544366,22.8,7.3,54,Delayed,17.385,78.4867,26.9124,75.7873
SHP-1053,Lucknow,Ahmedabad,607,Clear,High,Critical,Average,Normal,221993,12.6,7.1,51,Delayed,26.8467,80.9462,23.0225,72.5714
SHP-1054,Kolkata,Bengaluru,1099,Clear,Low,Standard,Poor,Normal,1788466,22.9,6.0,50,Delayed,22.5726,88.3639,12.9716,77.5946
SHP-1055,Bengaluru,Jaipur,1308,Clear,Severe,Standard,Average,Busy,680856,27.2,13.3,90,Delayed,12.9716,77.5946,26.9124,75.7873
SHP-1056,Mumbai,Kolkata,1104,Clear,Medium,Standard,Good,Normal,1295464,23.0,3.3,32,At Risk,19.076,72.8777,22.5726,88.3639
SHP-1057,Kolkata,Hyderabad,1380,Rain,Medium,Standard,Good,Busy,1523854,28.8,4.9,42,Delayed,22.5726,88.3639,17.385,78.4867
SHP-1058,Lucknow,Bengaluru,1132,Clear,Medium,High,Average,Busy,1211625,23.6,5.7,46,Delayed,26.8467,80.9462,12.9716,77.5946
SHP-1059,Chennai,Kolkata,1706,Clear,Medium,High,Good,Normal,2030335,35.5,2.1,27,At Risk,13.0827,80.2707,22.5726,88.3639
SHP-1060,Jaipur,Mumbai,1822,Clear,High,Standard,Average,Normal,1283900,38.0,7.2,55,Delayed,26.9124,75.7873,19.076,72.8777
SHP-1061,Delhi,Lucknow,1807,Clear,Medium,Standard,Good,Normal,213025,37.6,1.6,18,On Track,28.6139,77.209,26.8467,80.9462
SHP-1062,Jaipur,Hyderabad,1556,Clear,Low,High,Good,Normal,2148542,32.4,0.0,15,On Track,26.9124,75.7873,17.385,78.4867
SHP-1063,Lucknow,Delhi,1678,Clear,High,High,Good,Busy,867389,35.0,6.9,52,Delayed,26.8467,80.9462,28.6139,77.209
SHP-1064,Delhi,Ahmedabad,1113,Clear,High,Critical,Average,Busy,451190,23.2,9.6,67,Delayed,28.6139,77.209,23.0225,72.5714
SHP-1065,Kolkata,Mumbai,1079,Clear,Low,High,Good,Normal,2301381,22.5,0.0,15,On Track,22.5726,88.3639,19.076,72.8777
SHP-1066,Mumbai,Bengaluru,1990,Clear,Medium,Standard,Average,Normal,159390,41.5,3.1,27,At Risk,19.076,72.8777,12.9716,77.5946
SHP-1067,Bengaluru,Lucknow,1810,Rain,Medium,High,Average,Normal,1826126,37.7,6.8,55,Delayed,12.9716,77.5946,26.8467,80.9462
SHP-1068,Pune,Chennai,1973,Clear,High,Critical,Good,Overloaded,2118973,41.1,7.6,60,Delayed,18.5204,73.8567,13.0827,80.2707
SHP-1069,Pune,Mumbai,880,Clear,Medium,Standard,Good,Overloaded,1591000,18.3,5.1,44,Delayed,18.5204,73.8567,19.076,72.8777
SHP-1070,Delhi,Kolkata,835,Clear,Severe,Standard,Good,Busy,519427,17.4,9.9,69,Delayed,28.6139,77.209,22.5726,88.3639
SHP-1071,Bengaluru,Chennai,1550,Rain,Severe,High,Good,Busy,1644664,32.3,9.1,68,Delayed,12.9716,77.5946,13.0827,80.2707
SHP-1072,Pune,Bengaluru,1403,Heavy Rain,Low,High,Good,Busy,1965912,29.2,8.3,64,Delayed,18.5204,73.8567,12.9716,77.5946
SHP-1073,Lucknow,Chennai,2071,Clear,High,High,Good,Normal,779554,43.1,4.0,34,Delayed,26.8467,80.9462,13.0827,80.2707
SHP-1074,Lucknow,Delhi,1868,Clear,Severe,Standard,Average,Normal,2464573,38.9,9.7,74,Delayed,26.8467,80.9462,28.6139,77.209
SHP-1075,Pune,Hyderabad,1960,Heavy Rain,Low,Standard,Good,Normal,2332333,40.8,4.8,44,Delayed,18.5204,73.8567,17.385,78.4867
SHP-1076,Jaipur,Lucknow,265,Rain,High,Standard,Good,Busy,2170368,5.5,7.5,60,Delayed,26.9124,75.7873,26.8467,80.9462
SHP-1077,Chennai,Delhi,1202,Rain,Low,Standard,Poor,Busy,673892,25.0,6.1,47,Delayed,13.0827,80.2707,28.6139,77.209
SHP-1078,Kolkata,Bengaluru,1692,Clear,Medium,Standard,Good,Overloaded,2140694,35.2,4.7,43,Delayed,22.5726,88.3639,12.9716,77.5946
SHP-1079,Jaipur,Delhi,882,Rain,High,Critical,Good,Normal,1358712,18.4,7.2,56,Delayed,26.9124,75.7873,28.6139,77.209
SHP-1080,Mumbai,Lucknow,1832,Rain,Medium,Critical,Good,Normal,1767158,38.2,6.0,50,Delayed,19.076,72.8777,26.8467,80.9462
